% 1. Title : cyclus.spam.train
%
%
% 2. Sources:
%    (a) Creator : Zach Welch
%    (b) Date 2013-11-25
@RELATION BUGGY
@ATTRIBUTE Comment STRING
@ATTRIBUTE classification {clean,buggy}

@DATA
" fixed uninitialized intrusive_ptr bug in Source and Sink facility tests (issue #6).",buggy
" switched to a dr. dobbs informed intrusive pointer base (issue #6) - see http://drdobbs.com/cpp/229218807?pgno=1",buggy
" minor house-keep",buggy
" Added logging output and ref count tracking for message alloc/dealloc.  added MemAlloc prefix to log messages dealing with memory allocation.  see issue #6.",buggy
" fixed Message tests to use the new intrusive pointer paradigm (closes #6).",buggy
" added notes for 'pushers' to the blessed repo.",buggy
" updated pusher notes on README.",buggy
" fixed typos and reworked heading in 'pusher' section.",clean
" fixed bug in README rst.",clean
" more mods to README developer instructions.",buggy
" This reverts decommissioning related changes from commit 24d45c1cedf0ef2d1306ad87a42e574a0da58967.  Conflicts:  src/Models/Facility/ConditioningFacility/ConditioningFacility.cpp src/Models/Facility/GenericRepository/GenericRepository.cpp src/Models/Facility/NullFacility/NullFacility.cpp src/Models/FacilityModel.cpp src/Models/InstModel.cpp src/Models/Model.cpp src/Models/Model.h src/Utility/BookKeeper.cpp src/Utility/BookKeeper.h",buggy
" manual model memory management strategy utilizing parent/child ownership paradigm.",buggy
" removed all destructor loading/creation code - it is not needed for memory dealloc/management.  removed unused typedef for destructor function pointer.",clean
" removed unncessary destruct functions.  Virtual destructors will allow proper memory dealloc.",clean
" made all destructor virtual.",buggy
" added logging output line to model destructor.",clean
" fixed bug in hierarchy deallocation where not all children were being deallocated because the list being iterated through was modified in between iterations. added more model mem alloc logging.",clean
" removed obsolete warning about message deallocation.",clean
" sim model mem cleanup now is more generic and is controlled in timer class.",buggy
" model bookkeeping now occurs in destructor and is more generic - using boost::any.",buggy
" moved resource state bookkeep from message into bookkeeper.",clean
" removed debug code used for msg alloc/dealloc debugging.",clean
" kill() method now stops messages from returning to dealloced communicators. Communicators track messages that might be returned to them and kill those messages when they are deallocated. Closes #33.",buggy
" hotfix - transaction table now only gets one entry per transaction instead of one for each resource in a transaction. This also eliminated redundant material ID data.",clean
" added intrusive_ptr typedefs. Resource now subclasses IntrusiveBase.",buggy
" sed replaced 'Resource*' with 'rsrc_ptr'.",buggy
" sed replaced 'GenericResource*' with 'gen_rsrc_ptr'.",clean
" sed replaced 'Material*' with 'mat_rsrc_ptr'.",buggy
" all Material allocations are now inside a mat_rsrc_ptr.",buggy
" intrusive_ptr adaptations completed for Resource objects.",buggy
" test commit",clean
" test commit",clean
" test",clean
" test",clean
" hotfix of bookkeeper segfault on long sim runs.  Large array allocation on stack was the problem.  I moved the arrays to the heap.",clean
" removed commented code from masstable.",clean
" Updated material class doxygen comments. Many comment house-keeps.",buggy
" added more granularity to the logger. There are now 5 info levels and 5 debug levels.",clean
" added prefix arg to LOG macro.  Created a CLOG macro that shortcut-adds a 'cyclog' prefix to the log statement.",buggy
" LOG use adapted to 2-arg macro (w/ prefix) using sed replace.",buggy
" all mem alloc/dealloc log statements now use MLOG macro.",buggy
" changed some LOG macros to CLOG.",buggy
